,0,name
China,120,China
Australia,97,Australia
Viet Nam (Vietnam),96,Viet Nam (Vietnam)
Russian Federation,96,Russian Federation
India,96,India
Thailand,84,Thailand
Indonesia,84,Indonesia
United States (USA),84,United States
Mexico,84,Mexico
South Africa,72,South Africa
Kazakhstan,72,Kazakhstan
Japan,72,Japan
Kenya,72,Kenya
Turkey,72,Turkey
Malaysia,72,Malaysia
Ethiopia,60,Ethiopia
Norway,60,Norway
Afghanistan,60,Afghanistan
Denmark,60,Denmark
Egypt,60,Egypt
Finland,60,Finland
"Iran, Islamic Republic of",60,"Iran, Islamic Republic of"
Armenia,60,Armenia
United Kingdom (UK),60,United Kingdom (UK)
Greece,60,Greece
Sweden,60,Sweden
Myanmar (Burma),60,Myanmar (Burma)
Poland,60,Poland
Sri Lanka,60,Sri Lanka
Africa,60,Africa
Uzbekistan,60,Uzbekistan
Hungary,60,Hungary
Costa Rica,60,Costa Rica
Slovakia,60,Slovakia
Sudan,60,Sudan
Asia,60,Asia
France,60,France
Colombia,60,Colombia
Belgium,60,Belgium
Germany,60,Germany
Italy,48,Italy
Estonia,48,Estonia
Ukraine,48,Ukraine
Macedonia,48,Macedonia
Uganda,48,Uganda
Bulgaria,48,Bulgaria
Nicaragua,48,Nicaragua
Liberia,48,Liberia
Pakistan,48,Pakistan
Canada,48,Canada
Ghana,48,Ghana
Zimbabwe,48,Zimbabwe
Botswana,48,Botswana
Mongolia,48,Mongolia
Romania,48,Romania
Belize,48,Belize
Spain,48,Spain
Morocco,48,Morocco
Albania,48,Albania
"Moldova, Republic of",48,"Moldova, Republic of"
Latvia,48,Latvia
Lithuania,48,Lithuania
Nigeria,48,Nigeria
Netherlands,48,Netherlands
Brazil,48,Brazil
Ecuador,48,Ecuador
Peru,48,Peru
Mozambique,48,Mozambique
Lao People`s Democratic Republic,48,Lao People`s Democratic Republic
Czech Republic,48,Czech Republic
Europe,48,Europe
Gambia,36,Gambia
Slovenia,36,Slovenia
Senegal,36,Senegal
Turkmenistan,36,Turkmenistan
Bosnia and Herzegovina,36,Bosnia and Herzegovina
Switzerland,36,Switzerland
Bangladesh,36,Bangladesh
Cote d Ivoire (Ivory Coast),36,Cote d Ivoire (Ivory Coast)
Zambia,36,Zambia
Israel,36,Israel
Lesotho,36,Lesotho
Somalia,36,Somalia
Kyrgyzstan,36,Kyrgyzstan
"Korea, Democratic People's Republic of",36,"Korea, Democratic People's Republic of"
Georgia,36,Georgia
Croatia,36,Croatia
Angola,36,Angola
Philippines,36,Philippines
Mauritania,36,Mauritania
Guadeloupe,36,Guadeloupe
New Caledonia (Nouvelle Caledonie),36,New Caledonia (Nouvelle Caledonie)
Namibia,36,Namibia
Azerbaijan,36,Azerbaijan
South America,36,South America
Martinique,36,Martinique
"Tanzania, United Republic of",36,"Tanzania, United Republic of"
Algeria,36,Algeria
Swaziland,36,Swaziland
Belarus,36,Belarus
Panama,36,Panama
Austria,36,Austria
Nepal,36,Nepal
Bolivia,36,Bolivia
Guatemala,36,Guatemala
Tajikistan,36,Tajikistan
Venezuela,36,Venezuela
Argentina,36,Argentina
Isle of Man,36,Isle of Man
Lebanon,36,Lebanon
Benin,36,Benin
"Korea, Republic of",36,"Korea, Republic of"
Honduras,36,Honduras
Guinea,36,Guinea
"Congo, The Democratic Republic of the (Zaire)",36,"Congo, The Democratic Republic of the (Zaire)"
Tunisia,24,Tunisia
Togo,24,Togo
Puerto Rico,24,Puerto Rico
Solomon Islands,24,Solomon Islands
Australasia,24,Australasia
Paraguay,24,Paraguay
Jamaica,24,Jamaica
Seychelles,24,Seychelles
Central America,24,Central America
Malawi,24,Malawi
Sao Tome and Principe,24,Sao Tome and Principe
Monaco,24,Monaco
Chad,24,Chad
San Marino,24,San Marino
Liechtenstein,24,Liechtenstein
Mali,24,Mali
Portugal,24,Portugal
Suriname,24,Suriname
French Polynesia,24,French Polynesia
Singapore,24,Singapore
Cambodia,24,Cambodia
Jordan,24,Jordan
Central African Republic,24,Central African Republic
Syrian Arab Republic,24,Syrian Arab Republic
Andorra,24,Andorra
Luxembourg,24,Luxembourg
Bhutan,24,Bhutan
Netherlands Antilles,24,Netherlands Antilles
Gabon,24,Gabon
Eritrea,24,Eritrea
Trinidad and Tobago,24,Trinidad and Tobago
El Salvador,24,El Salvador
"Micronesia, Federated States of (FSM)",24,"Micronesia, Federated States of (FSM)"
Cape Verde,24,Cape Verde
Guinea-Bissau,24,Guinea-Bissau
Cook Islands,24,Cook Islands
Cameroon,24,Cameroon
Iceland,24,Iceland
Atlantic Ocean,24,Atlantic Ocean
Jersey,24,Jersey
Ireland,24,Ireland
Guyana,24,Guyana
Niger,24,Niger
Serbia,24,Serbia
Saint Barthelemy (Saint Barthélemy),24,Saint Barthelemy (Saint Barthélemy)
Sierra Leone,24,Sierra Leone
Antigua and Barbuda,12,Antigua and Barbuda
Samoa,12,Samoa
Malta,12,Malta
Dominica,12,Dominica
Arctic Ocean,12,Arctic Ocean
Cyprus,12,Cyprus
Grenada,12,Grenada
Hong Kong,12,Hong Kong
Saint Kitts and Nevis,12,Saint Kitts and Nevis
Faroe Islands,12,Faroe Islands
Holy See (Vatican City State),12,Holy See (Vatican City State)
Vanuatu,12,Vanuatu
Chile,12,Chile
Libyan Arab Jamahiriya,12,Libyan Arab Jamahiriya
French Guiana,12,French Guiana
Reunion (La Reunion),12,Reunion (La Reunion)
Mediterranean,12,Mediterranean
"Congo, Republic of the",12,"Congo, Republic of the"
Guernsey,12,Guernsey
Burkina Faso,12,Burkina Faso
Equatorial Guinea,12,Equatorial Guinea
Papua New Guinea,12,Papua New Guinea
Tonga,12,Tonga
Baltic Sea,12,Baltic Sea
Macao (Macau),12,Macao (Macau)
Brunei Darussalam,12,Brunei Darussalam
Niue,12,Niue
Mauritius,12,Mauritius
Saint Lucia,12,Saint Lucia
Barbados,12,Barbados
Montenegro,12,Montenegro
Taiwan,12,Taiwan
Western Sahara,12,Western Sahara
Saint Vincent and the Grenadines,12,Saint Vincent and the Grenadines
Republic of Haiti,12,Republic of Haiti
Anguilla,12,Anguilla
Guam,12,Guam
Rwanda,12,Rwanda
Cuba,12,Cuba
Fiji,12,Fiji
Montserrat,12,Montserrat
Dominican Republic,12,Dominican Republic
Uruguay,12,Uruguay
Burundi,12,Burundi
