,family,image,iucn_uuid,order,scientificname,sound,genus,species,subfamily,subgenus,common_name,gaa_name,synonymies,itis_names,iucn,isocc,intro_isocc,aweb_uid,uri/guid,taxon_notes_public
216,Mantellidae,1111 1111 1111 1174,57510,Anura,Spinomantis peraccae,http://amphibiaweb.org/sounds/Spinomantis_peraccae.mp3,Spinomantis,peraccae,Mantellinae,,,Spinomantis peraccae,,Mantidactylus peraccae,Least Concern (LC),MG,,4618.0,http://amphibiaweb.org/species/4618,
217,Mantellidae,1111 1111 1111 2344,57511,Anura,Spinomantis phantasticus,http://amphibiaweb.org/sounds/Spinomantis_phantasticus.mp3,Spinomantis,phantasticus,Mantellinae,,,Spinomantis phantasticus,,Mantidactylus phantasticus,Least Concern (LC),MG,,5632.0,http://amphibiaweb.org/species/5632,
219,Mantellidae,1111 1111 1111 8043,135798,Anura,Tsingymantis antitra,,Tsingymantis,antitra,Mantellinae,,,Tsingymantis antitra,,,Vulnerable (VU),MG,,6818.0,http://amphibiaweb.org/species/6818,
220,Mantellidae,1111 1111 1111 8025,57499,Anura,Wakea madinika,,Wakea,madinika,Mantellinae,,,Wakea madinika,,Mantidactylus madinika,Data Deficient (DD),MG,,6063.0,http://amphibiaweb.org/species/6063,
221,Microhylidae,1111 1111 1111 2317,57674,Anura,Anodonthyla boulengerii,http://amphibiaweb.org/sounds/Anodonthyla_boulengerii.mp3,Anodonthyla,boulengerii,Cophylinae,,,Anodonthyla boulengerii,,,Least Concern (LC),MG,,2326.0,http://amphibiaweb.org/species/2326,
223,Microhylidae,0000 0000 0913 0985,136168,Anura,Anodonthyla hutchisoni,,Anodonthyla,hutchisoni,Cophylinae,,,Anodonthyla hutchisoni,,,Data Deficient (DD),MG,,6923.0,http://amphibiaweb.org/species/6923,
225,Microhylidae,1111 1111 1111 1119,57675,Anura,Anodonthyla montana,,Anodonthyla,montana,Cophylinae,,,Anodonthyla montana,,,Vulnerable (VU),MG,,2327.0,http://amphibiaweb.org/species/2327,
226,Microhylidae,1111 1111 1111 8059,136055,Anura,Anodonthyla moramora,http://amphibiaweb.org/sounds/Anodonthyla_moramora.mp3,Anodonthyla,moramora,Cophylinae,,,Anodonthyla moramora,,,Data Deficient (DD),MG,,6568.0,http://amphibiaweb.org/species/6568,
227,Microhylidae,1111 1111 1111 1152,57676,Anura,Anodonthyla nigrigularis,http://amphibiaweb.org/sounds/Anodonthyla_nigrigularis.mp3,Anodonthyla,nigrigularis,Cophylinae,,,Anodonthyla nigrigularis,,,Data Deficient (DD),MG,,2328.0,http://amphibiaweb.org/species/2328,
229,Microhylidae,1111 1111 1111 8061,57677,Anura,Anodonthyla rouxae,,Anodonthyla,rouxae,Cophylinae,,,Anodonthyla rouxae,,,Endangered (EN),MG,,2329.0,http://amphibiaweb.org/species/2329,
232,Microhylidae,1111 1111 1111 6009,61849,Anura,Cophyla berara,http://amphibiaweb.org/sounds/Cophyla_berara.mp3,Cophyla,berara,Cophylinae,,,Cophyla berara,,,Critically Endangered (CR),MG,,6571.0,http://amphibiaweb.org/species/6571,
235,Microhylidae,1111 1111 1111 2382,57960,Anura,Cophyla occultans,http://amphibiaweb.org/sounds/Cophyla_occultans.mp3,Cophyla,occultans,Cophylinae,,,Cophyla occultans,,Platypelis occultans,Data Deficient (DD),MG,,2340.0,http://amphibiaweb.org/species/2340,
236,Microhylidae,1111 1111 1111 1165,57792,Anura,Cophyla phyllodactyla,http://amphibiaweb.org/sounds/Cophyla_phyllodactyla.mp3,Cophyla,phyllodactyla,Cophylinae,,,Cophyla phyllodactyla,,,Least Concern (LC),MG,,2331.0,http://amphibiaweb.org/species/2331,
238,Microhylidae,1111 1111 1111 4806,6937,Anura,Dyscophus antongilii,http://amphibiaweb.org/sounds/Dyscophus_antongilii.mp3,Dyscophus,antongilii,Dyscophinae,,Tomato Frog,Dyscophus antongilii,,,Near Threatened (NT),MG,,5530.0,http://amphibiaweb.org/species/5530,
239,Microhylidae,1111 1111 1111 1128,57805,Anura,Dyscophus guineti,http://amphibiaweb.org/sounds/Dyscophus_guineti.mp3,Dyscophus,guineti,Dyscophinae,,,Dyscophus guineti,,,Least Concern (LC),MG,,5531.0,http://amphibiaweb.org/species/5531,
240,Microhylidae,0000 0000 1209 2668,57806,Anura,Dyscophus insularis,http://amphibiaweb.org/sounds/Dyscophus_insularis.mp3,Dyscophus,insularis,Dyscophinae,,,Dyscophus insularis,,,Least Concern (LC),MG,,5532.0,http://amphibiaweb.org/species/5532,
241,Microhylidae,,57867,Anura,Madecassophryne truebae,,Madecassophryne,truebae,Cophylinae,,,Madecassophryne truebae,,,Endangered (EN),MG,,2333.0,http://amphibiaweb.org/species/2333,
242,Microhylidae,1111 1111 1111 7865,57945,Anura,Paradoxophyla palmata,http://amphibiaweb.org/sounds/Paradoxophyla_palmata.mp3,Paradoxophyla,palmata,Scaphiophryninae,,,Paradoxophyla palmata,,,Least Concern (LC),MG,,2070.0,http://amphibiaweb.org/species/2070,
243,Microhylidae,1111 1111 1111 4804,136176,Anura,Paradoxophyla tiarano,,Paradoxophyla,tiarano,Scaphiophryninae,,,Paradoxophyla tiarano,,,Data Deficient (DD),MG,,6720.0,http://amphibiaweb.org/species/6720,
244,Microhylidae,,57954,Anura,Platypelis alticola,,Platypelis,alticola,Cophylinae,,,Platypelis alticola,,,Endangered (EN),MG,,2335.0,http://amphibiaweb.org/species/2335,
245,Microhylidae,1111 1111 1111 2379,57955,Anura,Platypelis barbouri,http://amphibiaweb.org/sounds/Platypelis_barbouri.mp3,Platypelis,barbouri,Cophylinae,,,Platypelis barbouri,,,Least Concern (LC),MG,,2336.0,http://amphibiaweb.org/species/2336,
246,Microhylidae,,57956,Anura,Platypelis cowanii,,Platypelis,cowanii,Cophylinae,,,Platypelis cowanii,,,Data Deficient (DD),MG,,2337.0,http://amphibiaweb.org/species/2337,
247,Microhylidae,1111 1111 1111 1141,57957,Anura,Platypelis grandis,http://amphibiaweb.org/sounds/Platypelis_grandis.mp3,Platypelis,grandis,Cophylinae,,,Platypelis grandis,,,Least Concern (LC),MG,,2338.0,http://amphibiaweb.org/species/2338,
249,Microhylidae,1111 1111 1111 2324,57958,Anura,Platypelis mavomavo,,Platypelis,mavomavo,Cophylinae,,"Yellowish Tree Cophyline Frog (English), cofilìno arboreo giallastro (Italian), sahonkely mavomavo (Malagasy)",Platypelis mavomavo,,,Endangered (EN),MG,,6261.0,http://amphibiaweb.org/species/6261,
250,Microhylidae,1111 1111 1111 1176,57959,Anura,Platypelis milloti,http://amphibiaweb.org/sounds/Platypelis_milloti.mp3,Platypelis,milloti,Cophylinae,,,Platypelis milloti,,,Endangered (EN),MG,,2339.0,http://amphibiaweb.org/species/2339,
252,Microhylidae,1111 1111 1111 8071,57961,Anura,Platypelis pollicaris,http://amphibiaweb.org/sounds/Platypelis_pollicaris.mp3,Platypelis,pollicaris,Cophylinae,,,Platypelis pollicaris,,,Data Deficient (DD),MG,,2341.0,http://amphibiaweb.org/species/2341,
254,Microhylidae,1111 1111 1111 2323,57962,Anura,Platypelis tetra,http://amphibiaweb.org/sounds/Platypelis_tetra.wav,Platypelis,tetra,Cophylinae,,"Four-spotted tree cophyline frog (English), cofilino degli alberi dalle quattro macchie (Italian), sahonkely anatihazo misi tebok'efatra (Malagasy)",Platypelis tetra,,,Endangered (EN),MG,,6260.0,http://amphibiaweb.org/species/6260,
255,Microhylidae,1111 1111 1111 2380,57963,Anura,Platypelis tsaratananaensis,,Platypelis,tsaratananaensis,Cophylinae,,,Platypelis tsaratananaensis,,,Vulnerable (VU),MG,,2342.0,http://amphibiaweb.org/species/2342,
256,Microhylidae,1111 1111 1111 2340,57964,Anura,Platypelis tuberifera,http://amphibiaweb.org/sounds/Platypelis_tuberifera.mp3,Platypelis,tuberifera,Cophylinae,,,Platypelis tuberifera,,,Least Concern (LC),MG,,2343.0,http://amphibiaweb.org/species/2343,
257,Microhylidae,1111 1111 1111 8073,57967,Anura,Plethodontohyla bipunctata,,Plethodontohyla,bipunctata,Cophylinae,,,Plethodontohyla bipunctata,,,Least Concern (LC),MG,,2347.0,http://amphibiaweb.org/species/2347,
258,Microhylidae,1111 1111 1111 8074,57968,Anura,Plethodontohyla brevipes,,Plethodontohyla,brevipes,Cophylinae,,,Plethodontohyla brevipes,,,Endangered (EN),MG,,2348.0,http://amphibiaweb.org/species/2348,
259,Microhylidae,0000 0000 0112 1028,136186,Anura,Plethodontohyla fonetana,,Plethodontohyla,fonetana,Cophylinae,,,Plethodontohyla fonetana,,,Endangered (EN),MG,,6980.0,http://amphibiaweb.org/species/6980,
260,Microhylidae,,135750,Anura,Plethodontohyla guentheri,,Plethodontohyla,guentheri,Cophylinae,,,Plethodontohyla guentheri,,,Data Deficient (DD),MG,,6936.0,http://amphibiaweb.org/species/6936,
261,Microhylidae,1111 1111 1111 2337,57972,Anura,Plethodontohyla inguinalis,,Plethodontohyla,inguinalis,Cophylinae,,,Plethodontohyla inguinalis,,,Least Concern (LC),MG,,2351.0,http://amphibiaweb.org/species/2351,
262,Microhylidae,1111 1111 1111 4464,57974,Anura,Plethodontohyla mihanika,,Plethodontohyla,mihanika,Cophylinae,,,Plethodontohyla mihanika,,,Least Concern (LC),MG,,6219.0,http://amphibiaweb.org/species/6219,
263,Microhylidae,1111 1111 1111 1142,57976,Anura,Plethodontohyla notosticta,http://amphibiaweb.org/sounds/Plethodontohyla_notosticta.mp3,Plethodontohyla,notosticta,Cophylinae,,,Plethodontohyla notosticta,,,Least Concern (LC),MG,,2354.0,http://amphibiaweb.org/species/2354,
264,Microhylidae,1111 1111 1111 8078,57977,Anura,Plethodontohyla ocellata,,Plethodontohyla,ocellata,Cophylinae,,,Plethodontohyla ocellata,,,Least Concern (LC),MG,,2355.0,http://amphibiaweb.org/species/2355,
265,Microhylidae,1111 1111 1111 1177,57979,Anura,Plethodontohyla tuberata,,Plethodontohyla,tuberata,Cophylinae,,,Plethodontohyla tuberata,,,Vulnerable (VU),MG,,2357.0,http://amphibiaweb.org/species/2357,
266,Microhylidae,1111 1111 1111 2338,57965,Anura,Rhombophryne alluaudi,http://amphibiaweb.org/sounds/Rhombophryne_alluaudi.mp3,Rhombophryne,alluaudi,Cophylinae,,,Rhombophryne alluaudi,,Plethodontohyla alluaudi,Least Concern (LC),MG,,2345.0,http://amphibiaweb.org/species/2345,
267,Microhylidae,0000 0000 0314 2611,57969,Anura,Rhombophryne coronata,http://amphibiaweb.org/sounds/Rhombophryne_coronata.mp3,Rhombophryne,coronata,Cophylinae,,,Rhombophryne coronata,,Plethodontohyla coronata,Vulnerable (VU),MG,,6396.0,http://amphibiaweb.org/species/6396,
268,Microhylidae,1111 1111 1111 4786,57970,Anura,Rhombophryne coudreaui,,Rhombophryne,coudreaui,Cophylinae,,,Rhombophryne coudreaui,,Plethodontohyla coudreaui,Vulnerable (VU),MG,,2349.0,http://amphibiaweb.org/species/2349,
269,Microhylidae,,57971,Anura,Rhombophryne guentherpetersi,,Rhombophryne,guentherpetersi,Cophylinae,,,Rhombophryne guentherpetersi,,Plethodontohyla guentherpetersi,Endangered (EN),MG,,2350.0,http://amphibiaweb.org/species/2350,
270,Microhylidae,,57973,Anura,Rhombophryne laevipes,,Rhombophryne,laevipes,Cophylinae,,,Rhombophryne laevipes,,Plethodontohyla laevipes,Least Concern (LC),MG,,2352.0,http://amphibiaweb.org/species/2352,
274,Microhylidae,,57975,Anura,Rhombophryne minuta,http://amphibiaweb.org/sounds/Rhombophryne_minuta.mp3,Rhombophryne,minuta,Cophylinae,,,Rhombophryne minuta,,Plethodontohyla minuta,Data Deficient (DD),MG,,2353.0,http://amphibiaweb.org/species/2353,
276,Microhylidae,1111 1111 1111 2365,57978,Anura,Rhombophryne serratopalpebrosa,,Rhombophryne,serratopalpebrosa,Cophylinae,,,Rhombophryne serratopalpebrosa,,Plethodontohyla serratopalpebrosa,Vulnerable (VU),MG,,2356.0,http://amphibiaweb.org/species/2356,
278,Microhylidae,1111 1111 1111 1143,57994,Anura,Rhombophryne testudo,http://amphibiaweb.org/sounds/Rhombophryne_testudo.mp3,Rhombophryne,testudo,Cophylinae,,,Rhombophryne testudo,,,Vulnerable (VU),MG,,2359.0,http://amphibiaweb.org/species/2359,
280,Microhylidae,1111 1111 1111 8081,57995,Anura,Scaphiophryne boribory,http://amphibiaweb.org/sounds/Scaphiophryne_boribory.mp3,Scaphiophryne,boribory,Scaphiophryninae,,,Scaphiophryne boribory,,,Endangered (EN),MG,,6398.0,http://amphibiaweb.org/species/6398,
281,Microhylidae,1111 1111 1111 1144,57996,Anura,Scaphiophryne brevis,http://amphibiaweb.org/sounds/Scaphiophryne_brevis.mp3,Scaphiophryne,brevis,Scaphiophryninae,,,Scaphiophryne brevis,,,Least Concern (LC),MG,,2072.0,http://amphibiaweb.org/species/2072,
282,Microhylidae,1111 1111 1111 1178,57997,Anura,Scaphiophryne calcarata,,Scaphiophryne,calcarata,Scaphiophryninae,,,Scaphiophryne calcarata,,,Least Concern (LC),MG,,2073.0,http://amphibiaweb.org/species/2073,
283,Microhylidae,1111 1111 1111 2746,57998,Anura,Scaphiophryne gottlebei,,Scaphiophryne,gottlebei,Scaphiophryninae,,Gottlebe's Narrow-mouthed Frog; Sahon'orana (in Malagasy),Scaphiophryne gottlebei,,,Endangered (EN),MG,,2074.0,http://amphibiaweb.org/species/2074,
284,Microhylidae,1111 1111 1111 8084,57999,Anura,Scaphiophryne madagascariensis,http://amphibiaweb.org/sounds/Scaphiophryne_madagascariensis.mp3,Scaphiophryne,madagascariensis,Scaphiophryninae,,,Scaphiophryne madagascariensis,,,Near Threatened (NT),MG,,2075.0,http://amphibiaweb.org/species/2075,
285,Microhylidae,1111 1111 1111 1616,58000,Anura,Scaphiophryne marmorata,,Scaphiophryne,marmorata,Scaphiophryninae,,,Scaphiophryne marmorata,,,Vulnerable (VU),MG,,2076.0,http://amphibiaweb.org/species/2076,
287,Microhylidae,1111 1111 1111 8086,61859,Anura,Scaphiophryne menabensis,,Scaphiophryne,menabensis,Scaphiophryninae,,,Scaphiophryne menabensis,,,Vulnerable (VU),MG,,6441.0,http://amphibiaweb.org/species/6441,
288,Microhylidae,,58001,Anura,Scaphiophryne obscura,,Scaphiophryne,obscura,Scaphiophryninae,,,Scaphiophryne obscura,,"Pseudohemisus, Scaphiophryne",Data Deficient (DD),MG,,2077.0,http://amphibiaweb.org/species/2077,
289,Microhylidae,1111 1111 1111 8087,58002,Anura,Scaphiophryne spinosa,http://amphibiaweb.org/sounds/Scaphiophryne_spinosa.mp3,Scaphiophryne,spinosa,Scaphiophryninae,,,Scaphiophryne spinosa,,,Least Concern (LC),MG,,6573.0,http://amphibiaweb.org/species/6573,
290,Microhylidae,,58003,Anura,Scaphiophryne verrucosa,,Scaphiophryne,verrucosa,Scaphiophryninae,,,Scaphiophryne verrucosa,,"Pseudohemisus, Scaphiophryne",Data Deficient (DD),MG,,2079.0,http://amphibiaweb.org/species/2079,
293,Microhylidae,1111 1111 1111 1145,58008,Anura,Stumpffia gimmeli,http://amphibiaweb.org/sounds/Stumpffia_gimmeli.mp3,Stumpffia,gimmeli,Cophylinae,,,Stumpffia gimmeli,,,Least Concern (LC),MG,,2361.0,http://amphibiaweb.org/species/2361,
294,Microhylidae,1111 1111 1111 1179,58009,Anura,Stumpffia grandis,,Stumpffia,grandis,Cophylinae,,,Stumpffia grandis,,,Data Deficient (DD),MG,,2362.0,http://amphibiaweb.org/species/2362,
296,Microhylidae,1111 1111 1111 8090,58010,Anura,Stumpffia helenae,http://amphibiaweb.org/sounds/Stumpffia_helenae.mp3,Stumpffia,helenae,Cophylinae,,,Stumpffia helenae,,,Critically Endangered (CR),MG,,6400.0,http://amphibiaweb.org/species/6400,
301,Microhylidae,1111 1111 1111 1146,58011,Anura,Stumpffia psologlossa,http://amphibiaweb.org/sounds/Stumpffia_psologlossa.mp3,Stumpffia,psologlossa,Cophylinae,,,Stumpffia psologlossa,,,Data Deficient (DD),MG,,2363.0,http://amphibiaweb.org/species/2363,
302,Microhylidae,1111 1111 1111 8092,58012,Anura,Stumpffia pygmaea,http://amphibiaweb.org/sounds/Stumpffia_pygmaea.mp3,Stumpffia,pygmaea,Cophylinae,,,Stumpffia pygmaea,,,Vulnerable (VU),MG,,2364.0,http://amphibiaweb.org/species/2364,
303,Microhylidae,1111 1111 1111 8093,58013,Anura,Stumpffia roseifemoralis,,Stumpffia,roseifemoralis,Cophylinae,,,Stumpffia roseifemoralis,,,Data Deficient (DD),MG,,6772.0,http://amphibiaweb.org/species/6772,
305,Microhylidae,1111 1111 1111 8094,58014,Anura,Stumpffia tetradactyla,http://amphibiaweb.org/sounds/Stumpffia_tetradactyla.mp3,Stumpffia,tetradactyla,Cophylinae,,,Stumpffia tetradactyla,,,Data Deficient (DD),MG,,2365.0,http://amphibiaweb.org/species/2365,
306,Microhylidae,1111 1111 1111 8095,58015,Anura,Stumpffia tridactyla,http://amphibiaweb.org/sounds/Stumpffia_tridactyla.mp3,Stumpffia,tridactyla,Cophylinae,,,Stumpffia tridactyla,,,Data Deficient (DD),MG,,2366.0,http://amphibiaweb.org/species/2366,
